Le1	VIIII	INDECOLUM	-	-	AD	ALIUM	REGEM	CUM	LEGATIO	DIREGITUR	ET	UERBIS	SUGGERIT	COMMENDATIUM	domino	glorioso	atque	praecellentissimo	fratri	illo	regi	-	in	dei	nomen	ille	-	-	rex	desideratus	euentus	fidelissima	nobis	obtulit	facultatem	qua	uestrae	serenitatem	salutationis	honorificenciam	praebeamus	eo	uidelicet	dileccionis	affectu	proprietatem	uestrae	celsitudinis	cognuscire	cupientes	quo	uestram	-	-	gloriam	erga	nos	fraternitatis	-	indiuiduam	arbitramur	proinde	praesentes	uiros	inlustris	illos	et	illos	ad	praesenciam	fraternitatis	uestre	direximus	quibus	ut	uestram	gloriam	condecit	benignissima	tranquillitatae	susceptis	petimus	ut	dum	officium	legacionis	iniunctae	peraegerint	responsis	uestrae	clemencia	premuniti	ad	referendum	salutis	indicium	sacris	uestris	litteris	honorentur	-
Le3	EPISTULA	REGALIS	-	-	AD	ALIUM	REGE	DESTINENDA	-	-	-	-	-	-	domino	glorioso	atque	praecellentissimo	fratri	illo	regi	ego	in	dei	nomine	ille	gratia	dei	rex	desideratus	euentus	fidelissimam	nobis	obtulit	facultatem	qua	uestrae	serenitatis	salutationis	honorificentiam	praebeamus	eo	uidelicet	dilectionis	affectu	prosperitatem	uestrae	celsitudinis	cognoscere	cupientes	quo	uestrae	-	fraternitatis	gloriam	erga	nos	-	-	indiuiduam	arbitramur	proinde	presentes	uiros	illustres	illos	uel	illos	ad	praesentiae	fraternitatis	uestrae	direximus	quibus	ut	uestrae	dignitati	condecet	benignissima	tranquillitate	susceptis	petimus	ut	dum	officium	legationis	iniuncte	peregerint	responsis	uestrae	clementiae	praemoniti	ad	referendum	salutis	indicium	sacris	-	litteris	exaretur	ualete
P12	VIIII	INDICULUM	-	-	AD	ALIUM	REGEM	CUM	LEGATIO	DIRIGITUR	ET	UERBIS	SUGGERIT	COMMENDATICIIS	domino	glorioso	atque	praecellentissimo	fratri	illo	regi	-	in	dei	nomen	ille	-	-	rex	desideratus	euentus	fidelissimam	nobis	obtulit	facultatem	quia	uestrae	serenitate	salutationis	honorificentiuam	praebeamus	eo	uidelicet	dilectiones	affectu	proprietate	uestrae	celsitudinis	cognoscere	cupientes	quo	uestram	-	-	gloriam	erga	nos	fraternitatis	-	indiuiduam	arbitramur	proinde	praesentes	uiros	inlustris	illos	et	illos	ad	praesentiam	fraternitatis	uestrae	direximus	quibus	-	uestram	gloriam	condecet	benignissimam	tranquillitate	susceptis	petimus	ut	dum	officium	legacionis	iniuncte	peregerent	responsis	uestrae	clementiae	praemoniti	ad	referendum	salutis	indicium	sacris	uestris	litteris	honorentur	-
P16a	VIIII	INDICOLUM	-	-	AD	ALIUM	REGEM	CUM	LEG[...]	[...]TUR	ET	UERBIS	SUGERIT	COMMENDATICIUM	domino	glorioso	atque	praecellentissimo	fratre	illo	rege	-	in	dei	nomen	illi	-	-	rex	desideratus	euentus	fidissimam	nobis	obtulit	facultatem	qua	uestrae	serenitate	salutacionis	honorificenciam	praebeamus	eo	uidelicet	dileccionis	affectu	prosperitati	uestre	celsitudinis	cognuscere	cupientes	quo	uestram	-	-	gloriam	erga	nus	fraternitatis	-	indiuiduam	arbitramur	proinde	praesentes	uiris	inlustres	illos	et	illos	ad	praesenciam	fraternitatis	uestre	direximus	quibus	ut	uestra	gloria	condecet	benignissima	tranquillitate	susceptis	petimus	ut	dum	officium	legacionis	iniuncte	peregerint	responsis	uestre	clemenciae	praemuniti	ad	referendum	salutis	indicium	sacris	uestris	litteris	honorentur	-
P3	[fol.132vb]	LIIII	IN	DICULU[M]	AD	ALIU[M]	REGEM	CUM	LIGATIO	DIRIGITUR	ET	UERBIS	SUGGERIT	CMD	domino	glorioso	atque	praecelentissimo	fratri	illo	regi	-	in	dei	nomen	ille	-	-	rex	desideratus	euentus	fidelissimam	nobis	obtullit	facultatem	quanta	nobis	serenitas	salutationis	honorificentiam	praebeamus	eo	uidelicet	dileccionis	affectu	prosperitate	uestre	celsitudinis	cognuscere	cupientes	quo	nostre	gloriae	-	-	erga	nos	-	fraternitas	indiuiduam	arbitramur	proinde	praesentis	uiris	inlustris	illo	et	illo	ad	praesentiam	fraternitatis	uestre	direximus	quibus	ut	uestram	gloriam	decet	benignissima	tranquillitate	susceptis	petimus	ut	dum	officium	legacionis	-	peregerint	responsionis	uestre	clementiae	praemuniti	ad	referendum	salutis	inditium	sacris	uestris	literis	honorentur	-
Udd	IX	INDECOLUM	-	-	AD	ALIUM	REGEM	CUM	LIGATIO	DIREGITUR	ET	UERBIS	SUGERIT	COMMENDATIUM	domino	glorioso	atque	precellentissimo	fratre	illo	rege	-	in	dei	nomen	illi	-	-	rex	desideratus	euentus	fidelissima	nobis	obtullit	facultatem	qua	uestrae	serenitatem	salutacionis	honorificenciam	prebeamus	eo	uidelicet	dilecciones	affectu	prosperitate	uestre	celsitudinis	cognuscire	cupientes	quo	uestram	-	-	gloriam	erga	nus	fraternitatis	-	indiuiduam	arbitramur	proinde	presentes	uiros	inlustris	illo	et	illo	ad	presenciam	fraternitatis	uestre	direximus	quibus	ut	uestra	gloria	condecit	benignissima	tranquillitatae	susceptis	petimus	ut	dum	officium	legacionis	iniuncte	peraegerint	responsis	uestre	clemenciae	premoniti	ad	referendum	salutis	inditium	sacris	uestris	literis	honorentur	-
Zeu	9	indecolum	-	-	ad	alium	regem	cum	legatio	diregitur	et	uerbis	suggerit	commendatium	domino	glorioso	atque	precellentissimo	fratri	illo	regi	-	in	dei	nomen	ille	-	-	rex	desideratus	euentus	fidelissima	nobis	obtulit	facultatem	qua	uestrae	serenitatem	salutationis	honorificenciam	prebeamus	eo	uidelicet	dileccionis	affectu	prosperitatem	uestrae	celsitudinis	cognuscire	cupientes	quo	uestram	-	-	gloriam	erga	nos	fraternitatis	-	indiuiduam	arbitramur	proinde	presentes	uiros	inlustris	illos	et	illos	ad	presenciam	fraternitatis	uestre	direximus	quibus	ut	uestram	gloriam	condecit	benignissima	tranquillitatae	susceptis	petimus	ut	dum	officium	legacionis	iniunctae	peraegerint	responsis	uestrae	clemenciae	premuniti	ad	referendum	salutis	indicium	sacris	uestris	litteris	honorentur	-

